date,close
2017-03-30,9.92
2017-03-31,9.88
2017-04-05,10.05
2017-04-06,9.96
2017-04-07,9.89
2017-04-10,9.93
2017-04-11,9.86
2017-04-12,9.84
2017-04-13,9.91
2017-04-14,9.68
2017-04-17,9.66
2017-04-18,9.7
2017-04-19,9.52
2017-04-20,9.53
2017-04-21,9.69
2017-04-24,9.71
2017-04-25,9.89
2017-04-26,9.96
2017-04-27,9.96
2017-04-28,9.98
2017-05-02,10.1
2017-05-03,10.12
2017-05-04,10.14
2017-05-05,10.02
2017-05-08,10.07
2017-05-09,10.08
2017-05-10,10.14
2017-05-11,10.23
2017-05-12,10.2
2017-05-15,10.3
2017-05-16,10.3
2017-05-17,10.25
2017-05-18,10.18
2017-05-19,10.16
2017-05-22,10.24
2017-05-23,10.29
2017-05-24,10.33
2017-05-25,10.49
2017-05-26,10.45
2017-05-31,10.35
2017-06-01,10.43
2017-06-02,10.53
2017-06-03,10.61
2017-06-05,10.69
2017-06-06,10.69
2017-06-07,10.69
2017-06-08,10.73
2017-06-09,10.73
2017-06-12,10.54
2017-06-13,10.55
2017-06-14,10.4
2017-06-15,10.42
2017-06-16,10.61
2017-06-19,10.78
2017-06-20,11.0
2017-06-21,11.04
2017-06-22,11.11
2017-06-23,11.09
2017-06-26,11.47
2017-06-27,11.46
2017-06-28,11.25
2017-06-29,11.28
2017-06-30,11.2
2017-07-03,11.23
2017-07-04,11.12
2017-07-05,11.27
2017-07-06,11.22
2017-07-07,11.09
2017-07-10,11.09
2017-07-11,11.39
2017-07-12,11.38
2017-07-13,11.57
2017-07-14,11.52
2017-07-17,11.56
2017-07-18,11.61
2017-07-19,11.73
2017-07-20,11.75
2017-07-21,11.63
2017-07-24,11.65
2017-07-25,11.68
2017-07-26,11.6
2017-07-27,11.87
2017-07-28,11.63
2017-07-31,11.61
2017-08-01,11.79
2017-08-02,11.91
2017-08-03,11.8
2017-08-04,11.88
2017-08-07,12.08
2017-08-08,12.09
2017-08-09,11.88
2017-08-10,11.65
2017-08-11,11.55
2017-08-14,11.4
2017-08-15,11.52
2017-08-16,11.45
2017-08-17,11.64
2017-08-18,11.51
2017-08-21,11.53
2017-08-22,11.73
2017-08-23,11.72
2017-08-24,11.96
2017-08-25,12.04
2017-08-28,12.05
2017-08-29,11.99
2017-08-30,12.13
2017-08-31,12.17
2017-09-01,12.26
2017-09-04,12.18
2017-09-05,12.19
2017-09-06,12.12
2017-09-07,12.02
2017-09-08,12.18
2017-09-11,12.17
2017-09-12,12.24
2017-09-13,12.11
2017-09-14,12.13
2017-09-15,12.16
2017-09-18,12.37
2017-09-19,12.22
2017-09-20,12.08
2017-09-21,12.27
2017-09-22,11.96
2017-09-25,11.71
2017-09-26,11.58
2017-09-27,11.68
2017-09-28,11.66
2017-09-29,11.66
2017-09-30,11.82
2017-10-02,11.98
2017-10-03,11.99
2017-10-05,12.12
2017-10-06,12.15
2017-10-11,12.37
2017-10-12,12.56
2017-10-13,12.57
2017-10-16,12.63
2017-10-17,12.69
2017-10-18,12.64
2017-10-19,12.7
2017-10-20,12.67
2017-10-23,12.67
2017-10-24,12.67
2017-10-25,12.69
2017-10-26,12.64
2017-10-27,12.67
2017-10-30,12.68
2017-10-31,12.77
2017-11-01,12.74
2017-11-02,12.77
2017-11-03,12.73
2017-11-06,12.74
2017-11-07,12.8
2017-11-09,12.6
2017-11-10,12.62
2017-11-13,12.58
2017-11-14,12.55
2017-11-15,12.38
2017-11-16,12.4
2017-11-17,12.58
2017-11-20,12.58
2017-11-21,12.76
2017-11-22,12.87
2017-11-23,12.91
2017-11-24,12.91
2017-11-27,12.69
2017-11-28,12.59
2017-11-29,12.63
2017-11-30,12.28
2017-12-01,12.43
2017-12-04,12.43
2017-12-05,12.3
2017-12-06,11.87
2017-12-07,11.78
2017-12-08,11.81
2017-12-11,12.08
2017-12-12,11.95
2017-12-13,11.98
2017-12-14,12.22
2017-12-15,12.02
2017-12-18,12.08
2017-12-19,12.01
2017-12-20,12.1
2017-12-21,12.14
2017-12-22,12.19
2017-12-25,12.23
2017-12-26,11.95
2017-12-27,12.06
2017-12-28,12.29
2017-12-29,12.41
2018-01-02,12.54
2018-01-03,12.79
2018-01-04,12.88
2018-01-05,12.94
2018-01-08,13.02
2018-01-09,13.01
2018-01-10,12.85
2018-01-11,12.78
2018-01-12,13.01
2018-01-15,13.17
2018-01-16,13.25
2018-01-17,13.25
2018-01-18,13.5
2018-01-19,13.59
2018-01-22,13.79
2018-01-23,13.82
2018-01-24,13.59
2018-01-25,13.75
2018-01-26,13.7
2018-01-29,13.76
2018-01-30,13.5
2018-01-31,13.55
2018-02-01,13.76
2018-02-02,13.57
2018-02-05,13.05
2018-02-06,11.85
2018-02-07,12.13
2018-02-08,12.11
2018-02-09,11.72
2018-02-12,11.88
2018-02-21,12.5
2018-02-22,12.43
2018-02-23,12.72
2018-02-26,12.9
2018-02-27,12.88
2018-03-01,12.77
2018-03-02,12.54
2018-03-05,12.42
2018-03-06,12.7
2018-03-07,12.83
2018-03-08,12.9
2018-03-09,12.96
2018-03-12,13.33
2018-03-13,13.49
2018-03-14,13.35
2018-03-15,13.43
2018-03-16,13.38
2018-03-19,13.33
2018-03-20,13.31
2018-03-21,13.37
2018-03-22,13.29
2018-03-23,12.8
2018-03-26,12.87
2018-03-27,13.26
2018-03-28,12.92
2018-03-29,12.96
2018-03-30,13.21
2018-03-31,13.21
2018-04-02,13.22
2018-04-03,12.84
2018-04-09,13.1
2018-04-10,13.19
2018-04-11,13.3
2018-04-12,13.18
2018-04-13,13.26
2018-04-16,13.2
2018-04-17,12.9
2018-04-18,12.98
2018-04-19,13.29
2018-04-20,12.87
2018-04-23,12.65
2018-04-24,12.42
2018-04-25,12.28
2018-04-26,12.15
2018-04-27,12.21
2018-04-30,12.47
2018-05-02,12.51
2018-05-03,12.2
2018-05-04,12.25
2018-05-07,12.4
2018-05-08,12.52
2018-05-09,12.63
2018-05-10,12.8
2018-05-11,12.98
2018-05-14,13.23
2018-05-15,13.05
2018-05-16,13.03
2018-05-17,12.97
2018-05-18,12.95
2018-05-21,13.26
2018-05-22,13.2
2018-05-23,13.11
2018-05-24,13.14
2018-05-28,13.28
2018-05-29,13.17
2018-05-30,12.8
2018-05-31,13.0
2018-06-01,13.06
2018-06-04,13.56
2018-06-05,13.46
2018-06-06,13.83
2018-06-07,13.89
2018-06-08,13.67
2018-06-11,13.68
2018-06-12,13.65
2018-06-13,13.72
2018-06-14,13.41
2018-06-15,13.43
2018-06-19,13.09
2018-06-20,13.31
2018-06-21,13.21
2018-06-22,13.14
2018-06-25,12.98
2018-06-26,12.92
2018-06-27,12.85
2018-06-28,12.78
2018-06-29,13.16
2018-07-02,12.98
2018-07-03,12.95
2018-07-04,13.03
2018-07-05,12.71
2018-07-06,12.78
2018-07-09,13.12
2018-07-10,13.23
2018-07-11,12.97
2018-07-12,13.3
2018-07-13,13.52
2018-07-16,13.48
2018-07-17,13.34
2018-07-18,13.5
2018-07-19,13.51
2018-07-20,13.68
2018-07-23,13.77
2018-07-24,13.84
2018-07-25,13.91
2018-07-26,13.94
2018-07-27,14.15
2018-07-30,14.06
2018-07-31,14.12
2018-08-01,14.32
2018-08-02,13.87
2018-08-03,14.12
2018-08-06,14.13
2018-08-07,14.09
2018-08-08,14.28
2018-08-09,14.23
2018-08-10,14.11
2018-08-13,13.53
2018-08-14,13.71
2018-08-15,13.47
2018-08-16,13.45
2018-08-17,13.41
2018-08-20,13.43
2018-08-21,13.65
2018-08-22,13.67
2018-08-23,13.78
2018-08-24,13.66
2018-08-27,13.96
2018-08-28,14.14
2018-08-29,14.33
2018-08-30,14.34
2018-08-31,14.27
2018-09-03,14.04
2018-09-04,14.23
2018-09-05,14.17
2018-09-06,13.98
2018-09-07,13.82
2018-09-10,13.58
2018-09-11,13.59
2018-09-12,13.54
2018-09-13,13.54
2018-09-14,13.95
2018-09-17,13.79
2018-09-18,13.68
2018-09-19,13.88
2018-09-20,13.83
2018-09-21,14.16
2018-09-25,14.19
2018-09-26,14.16
2018-09-27,14.18
2018-09-28,14.11
