entry_date,exit_date,days_held,initial_capital,entry_avg_price,exit_price,position_taken,total_invested,total_proceeds,pnl,pnl_pct,capital_after,ma60_alerted
2015-01-29,2015-04-24,85,80000.0,1.0202,1.1091,FULL,120000.0,130451.79,10451.79,8.71,150451.79,True
2015-04-29,2016-10-24,544,150451.79,1.0796,1.1627,FULL,170451.79,183580.16,13128.37,7.7,523580.16,True
2016-10-27,2017-02-10,106,523580.16,1.1391,1.2323,FULL,543580.16,588040.63,44460.47,8.18,648040.63,True
2017-02-20,2017-05-10,79,648040.63,1.233,1.335,FULL,668040.63,723301.32,55260.69,8.27,763301.32,True
2017-05-17,2017-06-21,35,763301.32,1.35,1.4523,FULL,783301.32,842669.54,59368.22,7.58,842669.54,False
2017-06-28,2017-10-12,106,842669.54,1.513,1.6414,FULL,882669.54,957533.44,74863.9,8.48,997533.44,True
2017-10-24,2018-01-22,90,997533.44,1.6554,1.7964,FULL,1017533.44,1104189.71,86656.27,8.52,1144189.71,True
2018-01-24,2018-08-29,217,1144189.71,1.733,1.87,FULL,1164189.71,1256199.12,92009.4,7.9,1376199.12,True
2018-09-03,2019-10-01,393,1396199.12,1.813,1.9777,FULL,1396199.12,1523097.41,126898.29,9.09,1783097.41,True
2019-10-03,2019-10-22,19,1783097.41,1.9373,2.0941,HALF,891548.7,963717.71,72169.01,8.09,1855266.41,False
2019-11-08,2019-12-13,35,1875266.41,2.2214,2.4205,FULL,1875266.41,2043338.73,168072.32,8.96,2063338.73,False
2019-12-19,2020-07-15,209,2063338.73,2.4327,2.6318,FULL,2083338.73,2253887.85,170549.12,8.19,2373887.85,True
2020-07-16,2020-07-27,11,2373887.85,2.5932,2.8682,HALF,1186943.92,1312816.15,125872.23,10.6,2499760.08,False
2020-08-03,2020-08-17,14,2519760.08,2.8227,3.0568,HALF,1259880.04,1364362.84,104482.81,8.29,2624242.88,False
2020-08-19,2020-09-16,28,2624242.88,2.864,3.0864,FULL,2624242.88,2827959.4,203716.52,7.76,2847959.4,False
2020-09-18,2020-11-09,52,2847959.4,2.956,3.2091,FULL,2847959.4,3091805.35,243845.95,8.56,3131805.35,True
2020-11-25,2020-12-07,12,3131805.35,3.5068,3.7841,HALF,1565902.67,1689713.51,123810.84,7.91,3275616.19,False
2020-12-10,2020-12-31,21,3275616.19,3.8023,4.0909,HALF,1637808.09,1762136.62,124328.53,7.59,3399944.72,False
2021-01-18,2021-01-21,3,3419944.72,4.6545,5.0523,HALF,1709972.36,1856088.16,146115.8,8.54,3566060.52,False
2021-01-25,2021-02-17,23,3566060.52,4.7362,5.2,FULL,3566060.52,3915304.94,349244.42,9.79,3935304.94,False
2021-02-24,2021-04-06,41,3935304.94,4.9663,5.4091,FULL,3935304.94,4286131.96,350827.02,8.91,4326131.96,False
2021-04-12,2021-04-26,14,4326131.96,5.4523,5.9159,HALF,2163065.98,2347003.23,183937.25,8.5,4510069.21,False
2021-05-03,2021-06-30,58,4530069.21,5.6133,6.0477,FULL,4530069.21,4880630.05,350560.84,7.74,4900630.05,True
2021-07-09,2021-12-23,167,4920630.05,5.9338,6.4205,FULL,4920630.05,5324211.42,403581.37,8.2,5424211.42,True
2022-01-06,2024-02-15,770,5444211.42,6.6952,7.5091,FULL,5444211.42,6106049.82,661838.4,12.16,6606049.82,True
2024-02-21,2024-03-05,13,6606049.82,7.5091,8.0955,HALF,3303024.91,3560948.77,257923.86,7.81,6883973.68,False
2024-03-15,2024-04-09,25,6883973.68,8.425,9.3773,HALF,3441986.84,3831032.56,389045.72,11.3,7293019.4,False
2024-04-15,2024-05-15,30,7293019.4,8.7795,9.6091,FULL,7293019.4,7982129.84,689110.44,9.45,8002129.84,False
2024-05-21,2024-06-13,23,8002129.84,9.6784,10.6455,FULL,8022129.84,8823678.33,801548.49,9.99,8823678.33,False
2024-06-24,2024-07-04,10,8823678.33,11.1364,12.0318,HALF,4411839.17,4766587.05,354747.88,8.04,9198426.22,False
2024-07-12,2025-09-12,427,9198426.22,12.0102,12.9455,FULL,9198426.22,9914750.1,716323.88,7.79,10194750.1,True
2025-09-26,2025-10-03,7,10194750.1,13.1659,14.2727,HALF,5097375.05,5525895.96,428520.91,8.41,10643271.01,False
2025-10-13,2025-10-27,14,10643271.01,14.4795,15.8068,HALF,5321635.5,5809445.13,487809.63,9.17,11131080.64,False
2025-11-03,2026-01-02,60,11151080.64,15.5735,17.0568,FULL,11151080.64,12213203.9,1062123.27,9.52,12253203.9,True
2026-01-09,2026-01-19,10,12253203.9,18.1659,19.7227,HALF,6126601.95,6651651.66,525049.71,8.57,12778253.61,False
2026-01-21,2026-01-28,7,12778253.61,19.2636,21.0886,HALF,6389126.81,6994420.44,605293.63,9.47,13383547.24,False
2026-01-30,2026-02-11,12,13383547.24,19.8471,22.0955,FULL,13403547.24,14921966.21,1518418.96,11.33,14921966.21,False
