date,action,price,capital_before,capital_after,invested_amount,shares_before,shares_after,avg_cost_before,avg_cost_after
2026-03-31,BUY_TRANCHE_1,19.26,20000.0,10000.0,10000.0,0.0,519.2108,0.0,19.26
2026-03-31,BUY_TRANCHE_2,19.26,10000.0,0.0,10000.0,519.2108,1038.4216,19.26,19.26
2026-03-31,ALERT_MA60,19.26,0.0,0.0,0.0,1038.4216,1038.4216,19.26,19.26
2026-04-01,SELL_ALL,21.0,20000.0,41806.85,-21806.85,1038.4216,0.0,19.26,0.0
2026-04-02,BUY_TRANCHE_1,20.0,41806.85,20903.43,20903.43,0.0,1045.1713,0.0,20.0
2026-04-02,BUY_TRANCHE_2,20.0,20903.43,0.0,20903.43,1045.1713,2090.3427,20.0,20.0
2026-04-08,SELL_ALL,22.93,0.0,47931.56,-47931.56,2090.3427,0.0,20.0,0.0
2026-04-30,BUY_TRANCHE_1,28.61,47931.56,23965.78,23965.78,0.0,837.6714,0.0,28.61
2026-05-04,SELL_ALL,31.0,43965.78,69933.59,-25967.81,837.6714,0.0,28.61,0.0
2026-05-13,BUY_TRANCHE_1,31.85,69933.59,34966.8,34966.8,0.0,1097.8586,0.0,31.85
2026-05-19,BUY_TRANCHE_2,29.93,34966.8,0.0,34966.8,1097.8586,2266.1445,31.85,30.8602
2026-05-25,SELL_ALL,34.56,0.0,78317.95,-78317.95,2266.1445,0.0,30.8602,0.0
2026-06-05,BUY_TRANCHE_1,36.67,98317.95,49158.98,49158.98,0.0,1340.5775,0.0,36.67
2026-06-08,BUY_TRANCHE_2,33.8,49158.98,0.0,49158.98,1340.5775,2794.9851,36.67,35.1766
2026-06-18,SELL_ALL,38.33,0.0,107131.78,-107131.78,2794.9851,0.0,35.1766,0.0
2026-06-24,BUY_TRANCHE_1,38.08,107131.78,53565.89,53565.89,0.0,1406.6672,0.0,38.08
2026-06-26,BUY_TRANCHE_2,35.26,53565.89,0.0,53565.89,1406.6672,2925.836,38.08,36.6158
2026-07-01,SELL_ALL,39.48,20000.0,135512.0,-115512.0,2925.836,0.0,36.6158,0.0
2026-07-06,BUY_TRANCHE_1,38.75,135512.0,67756.0,67756.0,0.0,1748.542,0.0,38.75
2026-07-07,BUY_TRANCHE_2,37.19,67756.0,0.0,67756.0,1748.542,3570.4296,38.75,37.954
