entry_date,exit_date,days_held,initial_capital,entry_avg_price,exit_price,position_taken,total_invested,total_proceeds,pnl,pnl_pct,capital_after,ma60_alerted
2025-06-17,2025-07-03,16,20000.0,26.94,29.21,HALF,10000.0,10842.61,842.61,8.43,40842.61,False
2025-07-07,2025-07-17,10,40842.61,28.34,30.71,HALF,20421.31,22129.09,1707.78,8.36,42550.39,False
2025-07-22,2025-08-07,16,42550.39,30.52,33.1,HALF,21275.2,23073.69,1798.49,8.45,64348.89,False
2025-08-19,2025-09-10,22,64348.89,33.1461,36.54,FULL,64348.89,70937.66,6588.78,10.24,90937.66,False
2025-09-26,2025-10-03,7,90937.66,37.81,40.99,HALF,45468.83,49292.98,3824.14,8.41,114761.81,False
2025-10-13,2025-10-27,14,114761.81,41.6,45.28,HALF,57380.9,62456.91,5076.0,8.85,119837.81,False
2025-11-03,2026-01-02,60,139837.81,44.6333,49.0,FULL,139837.81,153518.94,13681.13,9.78,193518.94,True
2026-01-09,2026-01-19,10,193518.94,52.2,56.6,HALF,96759.47,104915.44,8155.97,8.43,201674.91,False
2026-01-21,2026-01-28,7,201674.91,55.4,60.6,HALF,100837.46,110302.34,9464.89,9.39,211139.8,False
2026-01-30,2026-02-11,12,211139.8,57.0338,63.4,FULL,231139.8,256939.79,25799.99,11.16,256939.79,False
2026-03-03,2026-04-10,38,276939.79,62.5111,68.0,FULL,276939.79,301257.02,24317.23,8.78,321257.02,True
2026-04-30,2026-05-04,4,321257.02,82.0,89.2,HALF,160628.51,174732.48,14103.97,8.78,355360.99,False
2026-05-12,2026-05-25,13,355360.99,89.4053,100.8,FULL,355360.99,400651.83,45290.84,12.75,400651.83,False
2026-06-05,2026-06-18,13,420651.83,101.9518,111.9,FULL,420651.83,461698.15,41046.32,9.76,461698.15,False
2026-06-24,2026-07-01,7,461698.15,106.103,114.1,FULL,461698.15,496496.25,34798.1,7.54,516496.25,False
