entry_date,exit_date,days_held,initial_capital,entry_avg_price,exit_price,position_taken,total_invested,total_proceeds,pnl,pnl_pct,capital_after,ma60_alerted
2017-01-11,2017-02-13,33,80000.0,10.2,11.01,HALF,40000.0,43176.47,3176.47,7.94,103176.47,False
2017-02-20,2017-05-25,94,103176.47,10.9792,12.0,FULL,123176.47,134628.37,11451.9,9.3,174628.37,True
2017-05-31,2017-06-26,26,174628.37,11.8375,13.04,FULL,194628.37,214399.19,19770.82,10.16,214399.19,False
2017-06-28,2017-09-18,82,214399.19,13.0266,14.14,FULL,254399.19,276143.69,21744.51,8.55,296143.69,False
2017-09-20,2018-01-15,117,296143.69,13.84,15.03,FULL,296143.69,321606.91,25463.22,8.6,401606.91,True
2018-01-24,2019-07-22,544,401606.91,15.247,16.54,FULL,421606.91,457360.21,35753.29,8.48,797360.21,True
2019-07-26,2019-10-14,80,797360.21,16.3184,17.57,FULL,817360.21,880051.82,62691.62,7.67,920051.82,True
2019-11-08,2019-12-16,38,940051.82,19.053,20.5,FULL,940051.82,1011444.8,71392.98,7.59,1031444.8,False
2019-12-20,2020-07-08,201,1031444.8,20.5384,22.11,FULL,1051444.8,1131899.79,80454.98,7.65,1251899.79,True
2020-07-10,2020-07-22,12,1251899.79,21.72,23.4,HALF,625949.89,674365.91,48416.01,7.73,1300315.8,False
2020-07-24,2020-08-04,11,1300315.8,22.78,24.49,HALF,650157.9,698962.56,48804.65,7.51,1369120.46,False
2020-08-11,2020-09-16,36,1369120.46,24.104,25.97,FULL,1369120.46,1475110.38,105989.93,7.74,1495110.38,False
2020-09-21,2020-11-09,49,1495110.38,24.849,27.22,FULL,1495110.38,1637765.91,142655.52,9.54,1677765.91,True
2020-11-25,2020-12-07,12,1677765.91,29.7,31.94,HALF,838882.95,902152.24,63269.29,7.54,1761035.19,False
2020-12-10,2020-12-31,21,1761035.19,32.14,34.6,HALF,880517.6,947912.53,67394.94,7.65,1828430.13,False
2021-01-15,2021-02-17,33,1848430.13,38.5689,43.0,FULL,1848430.13,2060792.28,212362.15,11.49,2080792.28,False
2021-02-24,2021-04-06,41,2080792.28,41.502,45.57,FULL,2080792.28,2284750.93,203958.66,9.8,2324750.93,False
2021-04-13,2021-04-26,13,2324750.93,45.87,50.15,HALF,1162375.47,1270833.43,108457.97,9.33,2433208.9,False
2021-05-03,2021-06-30,58,2453208.9,47.6552,51.7,FULL,2453208.9,2661428.45,208219.54,8.49,2681428.45,True
2021-07-09,2021-12-23,167,2701428.45,50.8976,55.3,FULL,2701428.45,2935089.53,233661.08,8.65,3035089.53,True
2022-01-06,2024-01-25,749,3055089.53,57.4226,61.85,FULL,3055089.53,3290645.98,235556.46,7.71,3770645.98,True
2024-01-31,2024-02-15,15,3770645.98,61.35,66.6,HALF,1885322.99,2046658.7,161335.71,8.56,3951981.69,False
2024-02-21,2024-03-05,13,3951981.69,66.65,71.85,HALF,1975990.84,2130156.67,154165.83,7.8,4126147.52,False
2024-03-15,2024-04-09,25,4126147.52,74.5,82.85,HALF,2063073.76,2294304.17,231230.41,11.21,4377377.93,False
2024-04-15,2024-05-15,30,4377377.93,77.7349,84.75,FULL,4377377.93,4772407.76,395029.83,9.02,4792407.76,False
2024-05-21,2024-06-13,23,4792407.76,85.35,93.7,HALF,2396203.88,2630630.39,234426.51,9.78,5046834.27,False
2024-06-24,2024-07-04,10,5046834.27,98.25,105.9,HALF,2523417.13,2719896.94,196479.81,7.79,5263314.07,False
2024-07-12,2025-09-16,431,5263314.07,105.6121,114.95,FULL,5263314.07,5728678.14,465364.07,8.84,6008678.14,True
2025-09-26,2025-10-03,7,6008678.14,115.2,124.7,HALF,3004339.07,3252092.72,247753.66,8.25,6276431.79,False
2025-10-13,2025-10-27,14,6276431.79,126.75,137.95,HALF,3138215.9,3415517.81,277301.92,8.84,6553733.71,False
2025-11-04,2026-01-02,59,6573733.71,135.0674,149.0,FULL,6573733.71,7251835.98,678102.27,10.32,7291835.98,True
2026-01-09,2026-01-19,10,7291835.98,158.6,171.85,HALF,3645917.99,3950510.76,304592.77,8.35,7596428.75,False
2026-01-21,2026-01-28,7,7596428.75,168.2,183.9,HALF,3798214.38,4152744.49,354530.12,9.33,7950958.87,False
2026-01-30,2026-02-11,12,7950958.87,173.3609,192.3,FULL,7970958.87,8841762.0,870803.14,10.92,8841762.0,False
2026-03-03,2026-04-10,38,8861762.0,189.4233,205.9,FULL,8861762.0,9632586.59,770824.59,8.7,9652586.59,True
2026-04-30,2026-05-04,4,9652586.59,248.2,270.0,HALF,4826293.3,5250198.19,423904.89,8.78,10096491.48,False
2026-05-12,2026-05-25,13,10096491.48,270.345,304.3,FULL,10096491.48,11364597.8,1268106.31,12.56,11364597.8,False
2026-06-05,2026-06-18,13,11384597.8,308.4972,338.45,FULL,11384597.8,12489957.78,1105359.99,9.71,12489957.78,False
2026-06-24,2026-07-01,7,12489957.78,321.4982,345.8,FULL,12489957.78,13434065.04,944107.26,7.56,13454065.04,False
