date,action,price,capital_before,capital_after,invested_amount,shares_before,shares_after,avg_cost_before,avg_cost_after
2017-01-11,BUY_TRANCHE_1,10.2,80000.0,40000.0,40000.0,0.0,3921.5686,0.0,10.2
2017-02-13,SELL_ALL,11.01,60000.0,103176.47,-43176.47,3921.5686,0.0,10.2,0.0
2017-02-20,BUY_TRANCHE_1,11.12,103176.47,51588.24,51588.24,0.0,4639.2298,0.0,11.12
2017-03-03,BUY_TRANCHE_2,10.88,71588.24,0.0,71588.24,4639.2298,11219.0308,11.12,10.9792
2017-04-19,ALERT_MA60,10.88,20000.0,20000.0,0.0,11219.0308,11219.0308,10.9792,10.9792
2017-05-25,SELL_ALL,12.0,40000.0,174628.37,-134628.37,11219.0308,0.0,10.9792,0.0
2017-05-31,BUY_TRANCHE_1,11.81,174628.37,87314.18,87314.18,0.0,7393.2417,0.0,11.81
2017-06-14,BUY_TRANCHE_2,11.86,107314.18,0.0,107314.18,7393.2417,16441.6553,11.81,11.8375
2017-06-26,SELL_ALL,13.04,0.0,214399.19,-214399.19,16441.6553,0.0,11.8375,0.0
2017-06-28,BUY_TRANCHE_1,12.77,214399.19,107199.59,107199.59,0.0,8394.6431,0.0,12.77
2017-08-10,BUY_TRANCHE_2,13.22,147199.59,0.0,147199.59,8394.6431,19529.2568,12.77,13.0266
2017-09-18,SELL_ALL,14.14,20000.0,296143.69,-276143.69,19529.2568,0.0,13.0266,0.0
2017-09-20,BUY_TRANCHE_1,13.84,296143.69,148071.85,148071.85,0.0,10698.8328,0.0,13.84
2017-09-20,BUY_TRANCHE_2,13.84,148071.85,0.0,148071.85,10698.8328,21397.6655,13.84,13.84
2017-09-25,ALERT_MA60,13.4,0.0,0.0,0.0,21397.6655,21397.6655,13.84,13.84
2018-01-15,SELL_ALL,15.03,80000.0,401606.91,-321606.91,21397.6655,0.0,13.84,0.0
2018-01-24,BUY_TRANCHE_1,15.54,401606.91,200803.46,200803.46,0.0,12921.7153,0.0,15.54
2018-02-05,BUY_TRANCHE_2,14.99,220803.46,0.0,220803.46,12921.7153,27651.7658,15.54,15.247
2018-02-06,ALERT_MA60,13.44,0.0,0.0,0.0,27651.7658,27651.7658,15.247,15.247
2019-07-22,SELL_ALL,16.54,340000.0,797360.21,-457360.21,27651.7658,0.0,15.247,0.0
2019-07-26,BUY_TRANCHE_1,16.51,797360.21,398680.1,398680.1,0.0,24147.7955,0.0,16.51
2019-08-01,BUY_TRANCHE_2,16.14,418680.1,0.0,418680.1,24147.7955,50088.3223,16.51,16.3184
2019-08-06,ALERT_MA60,15.27,0.0,0.0,0.0,50088.3223,50088.3223,16.3184,16.3184
2019-10-14,SELL_ALL,17.57,40000.0,920051.82,-880051.82,50088.3223,0.0,16.3184,0.0
2019-11-08,BUY_TRANCHE_1,19.25,940051.82,470025.91,470025.91,0.0,24416.9305,0.0,19.25
2019-11-29,BUY_TRANCHE_2,18.86,470025.91,0.0,470025.91,24416.9305,49338.771,19.25,19.053
2019-12-16,SELL_ALL,20.5,20000.0,1031444.8,-1011444.8,49338.771,0.0,19.053,0.0
2019-12-20,BUY_TRANCHE_1,20.61,1031444.8,515722.4,515722.4,0.0,25022.921,0.0,20.61
2020-01-06,BUY_TRANCHE_2,20.47,535722.4,0.0,535722.4,25022.921,51194.0203,20.61,20.5384
2020-01-30,ALERT_MA60,18.6,0.0,0.0,0.0,51194.0203,51194.0203,20.5384,20.5384
2020-07-08,SELL_ALL,22.11,120000.0,1251899.79,-1131899.79,51194.0203,0.0,20.5384,0.0
2020-07-10,BUY_TRANCHE_1,21.72,1251899.79,625949.89,625949.89,0.0,28819.0559,0.0,21.72
2020-07-22,SELL_ALL,23.4,625949.89,1300315.8,-674365.91,28819.0559,0.0,21.72,0.0
2020-07-24,BUY_TRANCHE_1,22.78,1300315.8,650157.9,650157.9,0.0,28540.7332,0.0,22.78
2020-08-04,SELL_ALL,24.49,670157.9,1369120.46,-698962.56,28540.7332,0.0,22.78,0.0
2020-08-11,BUY_TRANCHE_1,25.0,1369120.46,684560.23,684560.23,0.0,27382.4091,0.0,25.0
2020-08-20,BUY_TRANCHE_2,23.27,684560.23,0.0,684560.23,27382.4091,56800.5539,25.0,24.104
2020-09-16,SELL_ALL,25.97,20000.0,1495110.38,-1475110.38,56800.5539,0.0,24.104,0.0
2020-09-21,BUY_TRANCHE_1,25.24,1495110.38,747555.19,747555.19,0.0,29617.8761,0.0,25.24
2020-09-22,BUY_TRANCHE_2,24.47,747555.19,0.0,747555.19,29617.8761,60167.7409,25.24,24.849
2020-09-24,ALERT_MA60,23.25,0.0,0.0,0.0,60167.7409,60167.7409,24.849,24.849
2020-11-09,SELL_ALL,27.22,40000.0,1677765.91,-1637765.91,60167.7409,0.0,24.849,0.0
2020-11-25,BUY_TRANCHE_1,29.7,1677765.91,838882.95,838882.95,0.0,28245.2173,0.0,29.7
2020-12-07,SELL_ALL,31.94,858882.95,1761035.19,-902152.24,28245.2173,0.0,29.7,0.0
2020-12-10,BUY_TRANCHE_1,32.14,1761035.19,880517.6,880517.6,0.0,27396.316,0.0,32.14
2020-12-31,SELL_ALL,34.6,880517.6,1828430.13,-947912.53,27396.316,0.0,32.14,0.0
2021-01-15,BUY_TRANCHE_1,39.06,1848430.13,924215.07,924215.07,0.0,23661.42,0.0,39.06
2021-01-28,BUY_TRANCHE_2,38.09,924215.07,0.0,924215.07,23661.42,47925.4018,39.06,38.5689
2021-02-17,SELL_ALL,43.0,20000.0,2080792.28,-2060792.28,47925.4018,0.0,38.5689,0.0
2021-02-24,BUY_TRANCHE_1,42.25,2080792.28,1040396.14,1040396.14,0.0,24624.7607,0.0,42.25
2021-02-26,BUY_TRANCHE_2,40.78,1040396.14,0.0,1040396.14,24624.7607,50137.1721,42.25,41.502
2021-04-06,SELL_ALL,45.57,40000.0,2324750.93,-2284750.93,50137.1721,0.0,41.502,0.0
2021-04-13,BUY_TRANCHE_1,45.87,2324750.93,1162375.47,1162375.47,0.0,25340.6468,0.0,45.87
2021-04-26,SELL_ALL,50.15,1162375.47,2433208.9,-1270833.43,25340.6468,0.0,45.87,0.0
2021-05-03,BUY_TRANCHE_1,48.51,2453208.9,1226604.45,1226604.45,0.0,25285.5999,0.0,48.51
2021-05-04,BUY_TRANCHE_2,46.83,1226604.45,0.0,1226604.45,25285.5999,51478.3065,48.51,47.6552
2021-05-12,ALERT_MA60,40.5,0.0,0.0,0.0,51478.3065,51478.3065,47.6552,47.6552
2021-06-30,SELL_ALL,51.7,20000.0,2681428.45,-2661428.45,51478.3065,0.0,47.6552,0.0
2021-07-09,BUY_TRANCHE_1,51.25,2701428.45,1350714.22,1350714.22,0.0,26355.3995,0.0,51.25
2021-07-20,BUY_TRANCHE_2,50.55,1350714.22,0.0,1350714.22,26355.3995,53075.76,51.25,50.8976
2021-08-13,ALERT_MA60,48.4,20000.0,20000.0,0.0,53075.76,53075.76,50.8976,50.8976
2021-12-23,SELL_ALL,55.3,100000.0,3035089.53,-2935089.53,53075.76,0.0,50.8976,0.0
2022-01-06,BUY_TRANCHE_1,57.8,3055089.53,1527544.76,1527544.76,0.0,26428.1101,0.0,57.8
2022-01-19,BUY_TRANCHE_2,57.05,1527544.76,0.0,1527544.76,26428.1101,53203.6537,57.8,57.4226
2022-01-25,ALERT_MA60,53.9,0.0,0.0,0.0,53203.6537,53203.6537,57.4226,57.4226
2024-01-25,SELL_ALL,61.85,480000.0,3770645.98,-3290645.98,53203.6537,0.0,57.4226,0.0
2024-01-31,BUY_TRANCHE_1,61.35,3770645.98,1885322.99,1885322.99,0.0,30730.6111,0.0,61.35
2024-02-15,SELL_ALL,66.6,1905322.99,3951981.69,-2046658.7,30730.6111,0.0,61.35,0.0
2024-02-21,BUY_TRANCHE_1,66.65,3951981.69,1975990.84,1975990.84,0.0,29647.2745,0.0,66.65
2024-03-05,SELL_ALL,71.85,1995990.84,4126147.52,-2130156.67,29647.2745,0.0,66.65,0.0
2024-03-15,BUY_TRANCHE_1,74.5,4126147.52,2063073.76,2063073.76,0.0,27692.2652,0.0,74.5
2024-04-09,SELL_ALL,82.85,2083073.76,4377377.93,-2294304.17,27692.2652,0.0,74.5,0.0
2024-04-15,BUY_TRANCHE_1,80.05,4377377.93,2188688.97,2188688.97,0.0,27341.5236,0.0,80.05
2024-04-16,BUY_TRANCHE_2,75.55,2188688.97,0.0,2188688.97,27341.5236,56311.596,80.05,77.7349
2024-05-15,SELL_ALL,84.75,20000.0,4792407.76,-4772407.76,56311.596,0.0,77.7349,0.0
2024-05-21,BUY_TRANCHE_1,85.35,4792407.76,2396203.88,2396203.88,0.0,28075.0308,0.0,85.35
2024-06-13,SELL_ALL,93.7,2416203.88,5046834.27,-2630630.39,28075.0308,0.0,85.35,0.0
2024-06-24,BUY_TRANCHE_1,98.25,5046834.27,2523417.13,2523417.13,0.0,25683.6349,0.0,98.25
2024-07-04,SELL_ALL,105.9,2543417.13,5263314.07,-2719896.94,25683.6349,0.0,98.25,0.0
2024-07-12,BUY_TRANCHE_1,107.65,5263314.07,2631657.04,2631657.04,0.0,24446.4193,0.0,107.65
2024-07-18,BUY_TRANCHE_2,103.65,2631657.04,0.0,2631657.04,24446.4193,49836.2604,107.65,105.6121
2024-07-26,ALERT_MA60,92.55,0.0,0.0,0.0,49836.2604,49836.2604,105.6121,105.6121
2025-09-16,SELL_ALL,114.95,280000.0,6008678.14,-5728678.14,49836.2604,0.0,105.6121,0.0
2025-09-26,BUY_TRANCHE_1,115.2,6008678.14,3004339.07,3004339.07,0.0,26079.3322,0.0,115.2
2025-10-03,SELL_ALL,124.7,3024339.07,6276431.79,-3252092.72,26079.3322,0.0,115.2,0.0
2025-10-13,BUY_TRANCHE_1,126.75,6276431.79,3138215.9,3138215.9,0.0,24759.0998,0.0,126.75
2025-10-27,SELL_ALL,137.95,3138215.9,6553733.71,-3415517.81,24759.0998,0.0,126.75,0.0
2025-11-04,BUY_TRANCHE_1,137.2,6573733.71,3286866.86,3286866.86,0.0,23956.7555,0.0,137.2
2025-11-07,BUY_TRANCHE_2,133.0,3286866.86,0.0,3286866.86,23956.7555,48670.0401,137.2,135.0674
2025-11-21,ALERT_MA60,121.95,0.0,0.0,0.0,48670.0401,48670.0401,135.0674,135.0674
2026-01-02,SELL_ALL,149.0,40000.0,7291835.98,-7251835.98,48670.0401,0.0,135.0674,0.0
2026-01-09,BUY_TRANCHE_1,158.6,7291835.98,3645917.99,3645917.99,0.0,22988.1336,0.0,158.6
2026-01-19,SELL_ALL,171.85,3645917.99,7596428.75,-3950510.76,22988.1336,0.0,158.6,0.0
2026-01-21,BUY_TRANCHE_1,168.2,7596428.75,3798214.38,3798214.38,0.0,22581.5361,0.0,168.2
2026-01-28,SELL_ALL,183.9,3798214.38,7950958.87,-4152744.49,22581.5361,0.0,168.2,0.0
2026-01-30,BUY_TRANCHE_1,176.55,7950958.87,3975479.43,3975479.43,0.0,22517.5839,0.0,176.55
2026-02-06,BUY_TRANCHE_2,170.3,3995479.43,0.0,3995479.43,22517.5839,45979.0016,176.55,173.3609
2026-02-11,SELL_ALL,192.3,0.0,8841762.0,-8841762.0,45979.0016,0.0,173.3609,0.0
2026-03-03,BUY_TRANCHE_1,198.85,8861762.0,4430881.0,4430881.0,0.0,22282.5296,0.0,198.85
2026-03-04,BUY_TRANCHE_2,180.85,4430881.0,0.0,4430881.0,22282.5296,46782.8392,198.85,189.4233
