date,action,price,capital_before,capital_after,invested_amount,shares_before,shares_after,avg_cost_before,avg_cost_after
2017-06-28,BUY_TRANCHE_1,0.4688,80000.0,40000.0,40000.0,0.0,85333.3333,0.0,0.4688
2017-08-10,BUY_TRANCHE_2,0.4854,80000.0,0.0,80000.0,85333.3333,250140.2003,0.4688,0.4797
2017-09-25,ALERT_MA60,0.4879,20000.0,20000.0,0.0,250140.2003,250140.2003,0.4797,0.4797
2017-10-12,SELL_ALL,0.5233,40000.0,170906.7,-130906.7,250140.2003,0.0,0.4797,0.0
2017-10-23,BUY_TRANCHE_1,0.5279,170906.7,85453.35,85453.35,0.0,161869.018,0.0,0.5279
2017-11-09,BUY_TRANCHE_2,0.525,105453.35,0.0,105453.35,161869.018,362732.5464,0.5279,0.5263
2017-11-30,ALERT_MA60,0.5117,0.0,0.0,0.0,362732.5464,362732.5464,0.5263,0.5263
2018-01-19,SELL_ALL,0.5663,40000.0,245397.3,-205397.3,362732.5464,0.0,0.5263,0.0
2018-01-24,BUY_TRANCHE_1,0.5663,245397.3,122698.65,122698.65,0.0,216686.3615,0.0,0.5663
2018-02-05,BUY_TRANCHE_2,0.5438,142698.65,0.0,142698.65,216686.3615,479120.6644,0.5663,0.5539
2018-02-06,ALERT_MA60,0.4937,0.0,0.0,0.0,479120.6644,479120.6644,0.5539,0.5539
2018-08-01,SELL_ALL,0.5967,120000.0,405875.33,-285875.33,479120.6644,0.0,0.5539,0.0
2018-08-02,BUY_TRANCHE_1,0.5779,405875.33,202937.66,202937.66,0.0,351153.8541,0.0,0.5779
2018-08-13,BUY_TRANCHE_2,0.5637,202937.66,0.0,202937.66,351153.8541,711131.9736,0.5779,0.5707
2018-08-15,ALERT_MA60,0.5613,0.0,0.0,0.0,711131.9736,711131.9736,0.5707,0.5707
2019-09-12,SELL_ALL,0.615,260000.0,697346.16,-437346.16,711131.9736,0.0,0.5707,0.0
2019-09-19,BUY_TRANCHE_1,0.6188,697346.16,348673.08,348673.08,0.0,563512.0515,0.0,0.6188
2019-10-22,SELL_ALL,0.6663,368673.08,744112.99,-375439.9,563512.0515,0.0,0.6188,0.0
2019-11-08,BUY_TRANCHE_1,0.7067,764112.99,382056.49,382056.49,0.0,540645.9808,0.0,0.7067
2019-11-29,BUY_TRANCHE_2,0.6963,382056.49,0.0,382056.49,540645.9808,1089380.6209,0.7067,0.7014
2019-12-16,SELL_ALL,0.7562,20000.0,843844.09,-823844.09,1089380.6209,0.0,0.7014,0.0
2019-12-19,BUY_TRANCHE_1,0.7617,843844.09,421922.05,421922.05,0.0,553945.7951,0.0,0.7617
2020-01-07,BUY_TRANCHE_2,0.7479,441922.05,0.0,441922.05,553945.7951,1144816.499,0.7617,0.7546
2020-01-30,ALERT_MA60,0.6987,0.0,0.0,0.0,1144816.499,1144816.499,0.7546,0.7546
2020-07-13,SELL_ALL,0.8112,120000.0,1048732.38,-928732.38,1144816.499,0.0,0.7546,0.0
2020-07-16,BUY_TRANCHE_1,0.8054,1048732.38,524366.19,524366.19,0.0,651049.5922,0.0,0.8054
2020-07-27,SELL_ALL,0.8929,524366.19,1105699.22,-581333.03,651049.5922,0.0,0.8054,0.0
2020-08-03,BUY_TRANCHE_1,0.8875,1125699.22,562849.61,562849.61,0.0,634196.746,0.0,0.8875
2020-08-17,SELL_ALL,0.9546,562849.61,1168243.26,-605393.64,634196.746,0.0,0.8875,0.0
2020-08-19,BUY_TRANCHE_1,0.9321,1168243.26,584121.63,584121.63,0.0,626683.9101,0.0,0.9321
2020-08-20,BUY_TRANCHE_2,0.8596,584121.63,0.0,584121.63,626683.9101,1306224.3401,0.9321,0.8944
2020-09-24,ALERT_MA60,0.8492,20000.0,20000.0,0.0,1306224.3401,1306224.3401,0.8944,0.8944
2020-11-06,SELL_ALL,0.9642,60000.0,1319417.97,-1259417.97,1306224.3401,0.0,0.8944,0.0
2020-11-25,BUY_TRANCHE_1,1.0896,1319417.97,659708.98,659708.98,0.0,605469.0484,0.0,1.0896
2020-12-08,SELL_ALL,1.1925,679708.98,1401730.82,-722021.84,605469.0484,0.0,1.0896,0.0
2020-12-11,BUY_TRANCHE_1,1.1758,1401730.82,700865.41,700865.41,0.0,596058.4652,0.0,1.1758
2021-01-04,SELL_ALL,1.2996,720865.41,1495493.06,-774627.65,596058.4652,0.0,1.1758,0.0
2021-01-18,BUY_TRANCHE_1,1.4204,1495493.06,747746.53,747746.53,0.0,526427.5949,0.0,1.4204
2021-01-28,BUY_TRANCHE_2,1.395,747746.53,0.0,747746.53,526427.5949,1062446.6125,1.4204,1.4076
2021-02-17,SELL_ALL,1.5683,20000.0,1686270.44,-1666270.44,1062446.6125,0.0,1.4076,0.0
2021-02-24,BUY_TRANCHE_1,1.5488,1686270.44,843135.22,843135.22,0.0,544397.2356,0.0,1.5488
2021-03-05,BUY_TRANCHE_2,1.4763,863135.22,0.0,863135.22,544397.2356,1129078.1627,1.5488,1.5112
2021-04-06,SELL_ALL,1.6683,20000.0,1903678.73,-1883678.73,1129078.1627,0.0,1.5112,0.0
2021-04-13,BUY_TRANCHE_1,1.675,1903678.73,951839.37,951839.37,0.0,568262.3089,0.0,1.675
2021-04-26,SELL_ALL,1.8217,951839.37,1987023.87,-1035184.51,568262.3089,0.0,1.675,0.0
2021-05-03,BUY_TRANCHE_1,1.7792,2007023.87,1003511.94,1003511.94,0.0,564034.8122,0.0,1.7792
2021-05-04,BUY_TRANCHE_2,1.7079,1003511.94,0.0,1003511.94,564034.8122,1151599.7422,1.7792,1.7428
2021-05-12,ALERT_MA60,1.48,0.0,0.0,0.0,1151599.7422,1151599.7422,1.7428,1.7428
2021-06-30,SELL_ALL,1.8925,20000.0,2199402.51,-2179402.51,1151599.7422,0.0,1.7428,0.0
2021-07-02,BUY_TRANCHE_1,1.8583,2219402.51,1109701.26,1109701.26,0.0,597148.658,0.0,1.8583
